episode,steps,manifest_target_hz,alignment_mode,dropped_without_future_action,same_step_xyz_error_mm_mean,same_step_xyz_error_mm_p95,next_step_xyz_error_mm_mean,teleop_lead_ms_mean,teleop_lead_ms_p95,target_minus_robot_z_mm_mean,target_z_min,robot_z_min,first_command_close_step,first_measured_closed_step,measured_close_delay_steps
episode_0040,91,10.0,causal_observation_future_action,1,17.707465478480437,33.49132328430229,9.53624674188887,12.367704412439368,23.6203670501709,3.346969387565509,0.38071854792131044,0.37867632508277893,19,33,14
episode_0041,105,10.0,causal_observation_future_action,6,16.47662416710713,34.599352929535605,8.99680830156825,10.88227317446754,23.91071319580078,3.1189508461388815,0.38010274332285965,0.3788192570209503,20,33,13
episode_0042,96,10.0,causal_observation_future_action,12,16.925886262215176,31.352052779320545,9.469458295307032,12.768357992172241,22.065043449401855,3.2792094837319623,0.3769703650215388,0.37462806701660156,22,35,13
episode_0043,111,10.0,causal_observation_future_action,7,16.19378572084821,33.44668040873243,8.753690536324903,12.119336171193165,22.07159996032715,3.287746333980793,0.38757614480917546,0.38564297556877136,28,42,14
episode_0044,94,10.0,causal_observation_future_action,12,17.274885291011486,35.077701016418686,9.025461266622305,11.710948132454082,21.981215476989746,3.3632345845431617,0.38439646886296774,0.3827219307422638,22,37,15
episode_0045,97,10.0,causal_observation_future_action,12,16.475861405504226,36.65840684493187,9.32875219305338,12.843318821228657,24.990558624267575,3.4771758443005,0.3793946431752313,0.3759773373603821,22,35,13
episode_0046,92,10.0,causal_observation_future_action,5,18.21396547724698,33.39296053267129,9.8792795469561,11.601660562598186,22.95016050338745,4.354437849690729,0.3798453925160432,0.3746587336063385,22,33,11
episode_0047,106,10.0,causal_observation_future_action,9,15.672728928179222,31.153671614328612,8.28278486937407,12.57595476114525,24.813354015350342,3.179074209280902,0.3799941970775782,0.3773948848247528,25,46,21
episode_0048,107,10.0,causal_observation_future_action,7,16.0305945662057,31.87236241281793,8.978031616203912,12.303109480955891,23.9814519882202,3.63820752050071,0.3806248845180349,0.3790448307991028,27,41,14
episode_0049,106,10.0,causal_observation_future_action,9,15.944032118017432,31.722386332575383,8.311853488135002,12.044708683805645,24.281203746795654,3.3539417476097673,0.3786478849865218,0.3770149350166321,27,39,12
episode_0050,103,10.0,causal_observation_future_action,12,15.811383917674057,32.26493480220374,8.41778927663383,12.796003841659397,22.604513168334954,3.0730128647863624,0.3773892141654134,0.3746481239795685,22,34,12
episode_0051,99,10.0,causal_observation_future_action,15,17.020309566693236,35.30195908725656,9.268578930926887,11.97205890308727,22.744345664978024,3.790341179294621,0.3773170665222394,0.3732287287712097,26,39,13
episode_0052,91,10.0,causal_observation_future_action,12,18.22509261305392,37.34126083163167,9.720564357666257,11.3984621488131,21.906256675720215,3.4745082430956375,0.375645921885122,0.3738752603530884,22,34,12
episode_0053,86,10.0,causal_observation_future_action,9,17.210898429416748,37.833576121617085,8.472942725031743,11.126623597255973,22.821009159088135,2.779248294141004,0.38316992786121995,0.38115108013153076,18,30,12
episode_0054,83,10.0,causal_observation_future_action,10,17.841998148811157,36.366697654178196,9.425683344844169,12.620196285018002,24.48971271514892,2.9110425108190534,0.38026131582181355,0.3769337832927704,19,31,12
episode_0055,82,10.0,causal_observation_future_action,10,18.491021250694097,35.555853390828126,9.463109741007374,11.263684528629954,23.717153072357178,3.0966346880360067,0.3775797085088093,0.3754245340824127,18,31,13
episode_0056,89,10.0,causal_observation_future_action,6,18.11096493591927,37.222659573232995,9.544625507944763,13.860308722163854,25.023269653320312,3.3170063143480104,0.3832836052460604,0.38156455755233765,22,35,13
episode_0057,93,10.0,causal_observation_future_action,10,16.152909635768314,36.02883451528152,8.358327412501149,11.913843052361601,24.92985725402832,2.402720066519038,0.37965120463776625,0.37730252742767334,19,31,12
episode_0058,96,10.0,causal_observation_future_action,9,17.8499648773248,32.72466866479107,9.532541736981047,11.95446401834488,24.24943447113037,3.162851535904329,0.3718352877720701,0.3675977289676666,22,34,12
episode_0059,91,10.0,causal_observation_future_action,8,18.572056515011948,37.506897767718854,9.855758557748825,12.66763760493352,24.01137351989746,3.6016756584751,0.3815854054678498,0.37807005643844604,22,35,13
episode_0060,89,10.0,causal_observation_future_action,14,16.598344105119086,42.777148484245174,8.682852391547224,13.078981570983201,24.185991287231445,2.682816424310233,0.37016595993260903,0.3667256832122803,24,36,12
episode_0061,96,10.0,causal_observation_future_action,13,16.239843851449294,28.149939939973795,9.115005825789687,12.190915644168854,23.957252502441406,3.1709415932503435,0.3781493463948675,0.37559741735458374,15,27,12
episode_0062,89,10.0,causal_observation_future_action,8,17.376422336786227,36.2338326295461,8.991188249755142,12.34869206889292,23.42848777770996,3.3606573449270774,0.3869653713740613,0.3827573359012604,20,31,11
episode_0063,88,10.0,causal_observation_future_action,8,16.85815072755942,31.144537100058134,9.043199241284565,12.857748703523114,24.79599714279174,3.5289488425673605,0.3808110894462513,0.3780035674571991,16,30,14
episode_0064,86,10.0,causal_observation_future_action,9,18.508059041935418,40.037092163927774,9.384615646843164,12.194347936053608,24.697959423065186,3.268863538152129,0.3840172523852212,0.3818715214729309,20,32,12
episode_0065,106,10.0,causal_observation_future_action,8,14.467785981422468,28.60857177324465,7.990768954116268,12.095905699819888,23.072123527526855,2.7471674454773374,0.38480978012691036,0.3824591636657715,25,38,13
episode_0066,106,10.0,causal_observation_future_action,11,15.246477260930982,29.862564436533606,8.79373018489462,12.7910353102774,23.63830804824829,3.5562371361274736,0.3958714032001436,0.3916226029396057,21,36,15
episode_0067,92,10.0,causal_observation_future_action,8,15.92763160881051,28.427399727033418,8.509729396504575,11.263046575629192,22.398102283477787,2.9846462439596606,0.3844639790725779,0.38288986682891846,23,34,11
episode_0068,98,10.0,causal_observation_future_action,7,16.071090494761766,30.83427066860986,8.62207456846556,12.466294424874443,23.45571517944334,3.1902649376534926,0.38389432096826503,0.3809471130371094,22,35,13
episode_0069,96,10.0,causal_observation_future_action,9,15.680289490114273,29.50164433107441,8.288937622864267,12.189423044522604,23.03260564804077,3.082397709697288,0.38484883936326275,0.38299718499183655,23,35,12
episode_0070,102,10.0,causal_observation_future_action,14,15.183780952105481,30.048680162247756,8.062715427170959,10.984502586663938,22.49130010604858,3.390571835647487,0.38691866174771583,0.3848656713962555,24,37,13
episode_0071,96,10.0,causal_observation_future_action,12,14.974437546182038,30.37153502588358,7.959347072381882,12.200561662515005,23.13786745071411,2.926877744443765,0.38903291921266536,0.38766416907310486,24,36,12
episode_0072,103,10.0,causal_observation_future_action,12,15.683059800499791,28.7487227124028,8.787886483553677,12.162215501359366,22.034859657287598,3.3222047799694105,0.3818803443542582,0.37650296092033386,30,42,12
episode_0073,105,10.0,causal_observation_future_action,10,14.453296660387588,30.163642689252768,7.967718082666588,12.371533257620674,24.229955673217773,2.349750460502846,0.381525961242279,0.38041815161705017,26,39,13
episode_0074,109,10.0,causal_observation_future_action,11,12.713455254175562,28.30301628465124,7.227142827186732,12.072889083022371,22.972393035888672,2.613887555006439,0.3910325225642439,0.3896949887275696,34,46,12
episode_0075,82,10.0,causal_observation_future_action,13,17.637443135918183,33.47422505183683,9.100116601311505,10.568938604215296,24.072110652923584,2.775927398967181,0.38591016909306575,0.38404393196105957,19,30,11
episode_0076,97,10.0,causal_observation_future_action,8,15.05866918163685,27.67229391420257,8.552943312625063,12.863758913020497,25.336837768554684,2.8445083815768313,0.3804041863808436,0.3787338435649872,27,39,12
episode_0077,97,10.0,causal_observation_future_action,9,15.966220246496208,37.22231213642498,8.763618583107542,13.308618486542063,25.176334381103512,2.5191368034522297,0.3884299946381575,0.3867867887020111,25,38,13
episode_0078,108,10.0,causal_observation_future_action,12,14.63785998392078,34.37197882183604,8.223712059318997,11.512197830058911,25.36802291870116,2.9515351685762035,0.3984341322945113,0.39682671427726746,28,41,13
episode_0079,86,10.0,causal_observation_future_action,8,18.10774759113095,37.72294584634902,9.571822773856121,10.763099027234453,23.555397987365723,2.651009757762314,0.38687660104300603,0.3856221139431,21,34,13
episode_0080,86,10.0,causal_observation_future_action,5,17.16267067419867,30.53088024008498,9.833243715130822,12.163467185441839,22.314071655273438,3.165536396079721,0.3892751795542524,0.38752326369285583,24,37,13
episode_0081,85,10.0,causal_observation_future_action,10,16.51458599985413,33.9010795913219,9.075746586017814,12.583466137156767,23.619794845581055,2.4953055956612262,0.38720108716639556,0.38633283972740173,21,32,11
episode_0082,88,10.0,causal_observation_future_action,7,15.097874151677448,28.967230113059045,8.246462448881234,12.901463291861793,24.537086486816403,2.715063858679645,0.38299508647468583,0.38081565499305725,20,32,12
episode_0083,101,10.0,causal_observation_future_action,9,14.162619263540831,27.55302208998982,8.107475959046127,11.854929499106833,25.357484817504883,2.789244306423198,0.3944276937623048,0.39265885949134827,27,39,12
episode_0084,101,10.0,causal_observation_future_action,13,14.94179222449846,27.76271202548034,8.656661841702197,12.00644332583588,22.577285766601562,3.457357469974769,0.38631874008671385,0.38449233770370483,23,38,15
episode_0085,91,10.0,causal_observation_future_action,9,16.62723562262496,36.67475597033365,8.63102899182309,11.619104133857475,23.22566509246826,2.621918666495558,0.3822024017273815,0.38034889101982117,22,34,12
episode_0086,95,10.0,causal_observation_future_action,20,16.67445137157163,31.100461525780702,9.92675139068249,12.949961110165244,25.68674087524414,3.103399156054437,0.3815390075696996,0.3786785900592804,30,42,12
