split,demo,steps,agent_x_min,agent_x_max,agent_y_min,agent_y_max,agent_z_min,agent_z_max,action_x_min,action_x_max,action_y_min,action_y_max,action_z_min,action_z_max,action_gripper_max,first_close_step,first_open_after_close_step,agent_vel_abs_max,action_vel_abs_max
train,demo_015,91,-0.030126119032502174,0.2811281681060791,0.45715054869651794,0.6145831942558289,0.37269312143325806,0.4830692410469055,-0.031509388238191605,0.2826775014400482,0.4656788408756256,0.6184526085853577,0.37496381998062134,0.48175927996635437,1.0,22,69,2.587980270385742,10.0
train,demo_016,95,-0.035868823528289795,0.2826313376426697,0.4566097557544708,0.5978728532791138,0.37401285767555237,0.49927961826324463,-0.034178007394075394,0.28443852066993713,0.46602320671081543,0.5984171032905579,0.3763367235660553,0.5044649839401245,1.0,22,71,2.6127681732177734,10.0
train,demo_017,94,-0.03143709525465965,0.28546518087387085,0.4562841057777405,0.6156725287437439,0.3760649859905243,0.49742257595062256,-0.032473690807819366,0.28902918100357056,0.46347689628601074,0.6185095310211182,0.37800443172454834,0.49992430210113525,1.0,19,68,2.689844846725464,10.0
train,demo_018,94,-0.02954210340976715,0.27852863073349,0.4603288173675537,0.6081691980361938,0.3664834201335907,0.518154501914978,-0.027807490900158882,0.2790609896183014,0.468469500541687,0.6088789701461792,0.3711133301258087,0.5218130350112915,1.0,20,66,2.583725929260254,10.0
train,demo_019,98,-0.03582163155078888,0.2751634120941162,0.45713895559310913,0.6112484931945801,0.3793899118900299,0.5186168551445007,-0.03327355161309242,0.27633118629455566,0.4622966945171356,0.6119353175163269,0.38043466210365295,0.5231008529663086,1.0,25,76,2.5887205600738525,10.0
train,demo_020,87,-0.030209200456738472,0.2703401446342468,0.45614033937454224,0.612726628780365,0.3779118061065674,0.4898986220359802,-0.02973122149705887,0.272327184677124,0.46360719203948975,0.6147369146347046,0.3782173693180084,0.49351078271865845,1.0,20,67,2.565967559814453,10.0
train,demo_021,81,-0.03275701031088829,0.2691766023635864,0.4569023549556732,0.6079384684562683,0.3780287504196167,0.48509812355041504,-0.033608999103307724,0.2702750563621521,0.461086630821228,0.6111397743225098,0.38019219040870667,0.489227294921875,1.0,20,60,2.562329053878784,10.0
train,demo_022,101,-0.04656054079532623,0.27316197752952576,0.45445916056632996,0.6096178293228149,0.3655255138874054,0.4958897531032562,-0.048344578593969345,0.27419981360435486,0.4621632695198059,0.6102201342582703,0.3684777021408081,0.5004583597183228,1.0,29,82,2.5889053344726562,10.0
train,demo_023,86,-0.030163351446390152,0.279445081949234,0.458845317363739,0.6048439145088196,0.378860205411911,0.493211567401886,-0.0315314419567585,0.2812829911708832,0.463226318359375,0.6068561673164368,0.3803384006023407,0.49437493085861206,1.0,21,65,2.586932420730591,10.0
train,demo_024,85,-0.0321224145591259,0.2684377133846283,0.4569348692893982,0.6053124070167542,0.3718765676021576,0.4834849238395691,-0.03222299739718437,0.26983147859573364,0.461800217628479,0.6051456928253174,0.37462884187698364,0.48389169573783875,1.0,21,65,2.564178943634033,10.0
