policy,demo,start_step,horizon,xyz_error_mm_mean,xyz_error_mm_final,z_error_mm_mean,z_error_mm_min,gripper_abs_error_mean,pred_gripper_max,gt_gripper_max,error,checkpoint
mpd_state,demo_001,53,12,8.781279120444182,11.288889304693438,6.482052306334178,-0.3345608711242676,0.013794442017873129,1.0300079584121704,1.0,,
mpd_state,demo_001,80,12,14.450437471773478,16.574226284272815,6.80869072675705,-4.325926303863525,0.1415643890698751,0.37973952293395996,0.0,,
mpd_state,demo_002,0,12,14.768005437552954,31.93313154338903,-5.675405263900757,-28.649866580963135,0.014087299505869547,0.024041056632995605,0.0,,
mpd_state,demo_002,29,12,12.25875532567323,9.348247441587551,-5.174902578194936,-13.274401426315308,0.11288842558860779,1.1081643104553223,1.0,,
mpd_state,demo_002,58,12,14.403400366445311,11.051431821932022,7.9647550980250035,-0.5440115928649902,0.0088442862033844,1.0214552879333496,1.0,,
mpd_state,demo_002,87,12,9.61825784904973,16.117299836404364,-5.583519736925761,-8.590608835220337,0.11580430219570796,0.6614742279052734,0.0,,
mpd_state,demo_003,0,12,14.067230609509908,12.607055921125998,4.480342070261638,-5.031973123550415,0.015222626427809397,0.015453845262527466,0.0,,
mpd_state,demo_003,30,12,6.624992203390097,20.592112934831302,-2.844303846359253,-19.610106945037842,0.10342478255430858,1.1195567846298218,1.0,,
mpd_state,demo_003,59,12,13.359874483575457,25.763333904164885,-8.655418952306112,-24.35442805290222,0.016610721747080486,1.0315496921539307,1.0,,
mpd_state,demo_003,89,12,5.898104584502881,7.884490125250195,3.241606056690216,-4.616439342498779,0.11512807508309682,0.664028525352478,0.0,,
mpd_state,demo_004,0,12,20.465184508792625,20.985048780501455,-2.834556003411611,-8.873552083969116,0.014514644940694174,0.020257264375686646,0.0,,
mpd_state,demo_004,31,12,5.591137056659215,6.665437044931336,-1.9249767065048218,-4.718810319900513,0.1251626213391622,1.1327577829360962,1.0,,
mpd_state,demo_004,62,12,16.099867405964215,18.275169732873,3.7078559398651123,-3.042459487915039,0.009726449847221375,1.019597053527832,1.0,,
mpd_state,demo_004,93,12,6.211747256005225,9.20753726299206,-3.1672765811284385,-6.435006856918335,0.10453804830710094,0.6623963713645935,0.0,,
mpd_state,demo_005,0,12,8.945081188536307,17.08404889452789,4.355450471242269,-6.155818700790405,0.01700282593568166,0.014312028884887695,0.0,,
mpd_state,demo_005,22,12,12.030930008615249,52.02825483441985,-10.107313593228659,-50.510287284851074,0.11560691893100739,1.1193840503692627,1.0,,
mpd_state,demo_005,44,12,9.982862836634297,28.746619594538384,7.102737824122111,1.2473464012145996,0.010626758138338724,1.0224409103393555,1.0,,
mpd_state,demo_005,66,12,11.550614505024186,28.420185798956325,-9.546284874280294,-23.328721523284912,0.11884290476640065,0.6628795266151428,0.0,,
motif_state,,,,,,,,,,,missing checkpoint,/home/zhenya/kenny/visuotact/vt_franka/robot_workspace/data/train/mpd/motif/motif_state/best_model.pth
