i,target_x,target_y,target_z,teleop_x,teleop_y,teleop_z,translation_step_limited,workspace_clamped
2.100000000000000000e+01,-3.066882269967952102e-02,6.057599930132560040e-01,4.114255551457008941e-01,-3.066882269967952102e-02,6.057599930132560040e-01,4.114255551457008941e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,-3.308497460151182956e-02,6.060407285530158283e-01,4.053197288938870102e-01,-3.308497460151182956e-02,6.060407285530158283e-01,4.053197288938870102e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000000e+01,-3.570529407042832837e-02,6.061184705233133574e-01,3.979746781053350446e-01,-3.570529407042832837e-02,6.061184705233133574e-01,3.979746781053350446e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.400000000000000000e+01,-3.662299914921773869e-02,6.051392133566619869e-01,3.918066533621118452e-01,-3.662299914921773869e-02,6.051392133566619869e-01,3.918066533621118452e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e+01,-3.596422805739762918e-02,6.034859520232072061e-01,3.870134996218403955e-01,-3.596422805739762918e-02,6.034859520232072061e-01,3.870134996218403955e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000000e+01,-3.444128840908300404e-02,6.018996002387750899e-01,3.862679435002553952e-01,-3.444128840908300404e-02,6.018996002387750899e-01,3.862679435002553952e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000000e+01,-3.335777118932536922e-02,6.004011450273951667e-01,3.862112550614669182e-01,-3.335777118932536922e-02,6.004011450273951667e-01,3.862112550614669182e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.800000000000000000e+01,-3.243079965966400025e-02,5.986981290818595980e-01,3.861676500581974203e-01,-3.243079965966400025e-02,5.986981290818595980e-01,3.861676500581974203e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.900000000000000000e+01,-3.288290834522999972e-02,5.976636413810294535e-01,3.867100300589458861e-01,-3.288290834522999972e-02,5.976636413810294535e-01,3.867100300589458861e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+01,-3.398821777493921115e-02,5.969382457885346049e-01,3.879069245774871000e-01,-3.398821777493921115e-02,5.969382457885346049e-01,3.879069245774871000e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.100000000000000000e+01,-3.372785708698144980e-02,5.964039074843705546e-01,3.900283096343968303e-01,-3.372785708698144980e-02,5.964039074843705546e-01,3.900283096343968303e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.200000000000000000e+01,-3.420262847422572694e-02,5.960989186252072525e-01,3.913459029156522995e-01,-3.420262847422572694e-02,5.960989186252072525e-01,3.913459029156522995e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.300000000000000000e+01,-3.583049244928326882e-02,5.953094046025126929e-01,3.975367620965823967e-01,-3.583049244928326882e-02,5.953094046025126929e-01,3.975367620965823967e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.400000000000000000e+01,-3.642089427068428975e-02,5.947059599338950786e-01,4.057080881859578270e-01,-3.642089427068428975e-02,5.947059599338950786e-01,4.057080881859578270e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000000e+01,-3.580598767032849850e-02,5.935508412100201081e-01,4.136210129168138572e-01,-3.580598767032849850e-02,5.935508412100201081e-01,4.136210129168138572e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.600000000000000000e+01,-3.516502718205449796e-02,5.922337520903986352e-01,4.209265279227745182e-01,-3.516502718205449796e-02,5.922337520903986352e-01,4.209265279227745182e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.700000000000000000e+01,-3.391869200337427337e-02,5.914679079941929096e-01,4.278216050065091203e-01,-3.391869200337427337e-02,5.914679079941929096e-01,4.278216050065091203e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000000e+01,-3.078690619095691972e-02,5.909884857228691057e-01,4.339760717277374447e-01,-3.078690619095691972e-02,5.909884857228691057e-01,4.339760717277374447e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000000e+01,-2.209102553308263731e-02,5.880773915568529020e-01,4.417160452639063428e-01,-2.071308273600647176e-02,5.876161017352130589e-01,4.429425157277191438e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+01,-1.301230966002428491e-02,5.850668201777717847e-01,4.489626567525771828e-01,-9.152437394247758817e-03,5.837868571155131470e-01,4.520435984955590847e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.100000000000000000e+01,-4.068586518096132740e-03,5.823443277570444776e-01,4.564858111029558296e-01,4.562695857135201649e-03,5.797169431125486216e-01,4.637461509547291527e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.200000000000000000e+01,4.860789855436548762e-03,5.798258003192777732e-01,4.640965441244861989e-01,1.473642663397756181e-02,5.770403804700376948e-01,4.725137987898695435e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.300000000000000000e+01,1.398318865974408978e-02,5.773178445396964786e-01,4.714784136615908228e-01,3.035756776546061353e-02,5.728161537458400510e-01,4.847286050753245590e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.400000000000000000e+01,2.330616052422344181e-02,5.749216844627058620e-01,4.786436500498451041e-01,4.314246184551207008e-02,5.698234224501044221e-01,4.938889806270183591e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000000e+01,3.314844637763993823e-02,5.722723403435709955e-01,4.849769260518872471e-01,5.576498072459035171e-02,5.661844271128750883e-01,4.995301260261779674e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.600000000000000000e+01,4.361961991493391866e-02,5.687062547694113901e-01,4.896285449560586756e-01,6.634062633499504535e-02,5.609683395360911540e-01,4.997219182163656903e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.700000000000000000e+01,5.435206319840374389e-02,5.643954787159392028e-01,4.928272745451164893e-01,7.426348264461135606e-02,5.563978897352870323e-01,4.987617337228158476e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.800000000000000000e+01,6.523820719243714206e-02,5.595663297338711040e-01,4.943007700660329018e-01,8.634998253459369444e-02,5.502010385472850817e-01,4.971583573276299184e-01,1.000000000000000000e+00,0.000000000000000000e+00
4.900000000000000000e+01,7.616617593927642316e-02,5.546124832632376433e-01,4.944980115766151041e-01,9.816134169364776341e-02,5.446416756257428382e-01,4.948950075618161470e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+01,8.716436609107171274e-02,5.498191276684281092e-01,4.942459093619051003e-01,1.086090090108382533e-01,5.404728809042389504e-01,4.937543519420821703e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.100000000000000000e+01,9.829311661974611536e-02,5.454061087571845379e-01,4.934236102925052547e-01,1.240362225624256354e-01,5.351978816011819795e-01,4.915214621577632670e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.200000000000000000e+01,1.094480923771331132e-01,5.412013750799907763e-01,4.920500271839963191e-01,1.396674994160198580e-01,5.298105337868495024e-01,4.883289194056774640e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.300000000000000000e+01,1.205750552364204531e-01,5.370418155080289857e-01,4.903503914302709821e-01,1.509647821265827083e-01,5.256813139072018526e-01,4.857083820138958785e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.400000000000000000e+01,1.317357138751935608e-01,5.330625227298245727e-01,4.884517267062847834e-01,1.666550630446816950e-01,5.206121541210220194e-01,4.825112048608866111e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000000e+01,1.428545999463670668e-01,5.291371500818687901e-01,4.862242119227322967e-01,1.779922553161039644e-01,5.167322751313780937e-01,4.791848694657230290e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.600000000000000000e+01,1.539536094525865151e-01,5.253662541073952363e-01,4.836566583146161835e-01,1.890264056030270812e-01,5.134502479319689172e-01,4.755432060058923938e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.700000000000000000e+01,1.650372653119355770e-01,5.218462026444409263e-01,4.806966227591421004e-01,2.019384415210998540e-01,5.101267807363494278e-01,4.708416800395154311e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.800000000000000000e+01,1.760816665996015884e-01,5.188259333875647750e-01,4.771050807765153667e-01,2.160133317627581651e-01,5.079059769746410158e-01,4.641196551174684437e-01,1.000000000000000000e+00,0.000000000000000000e+00
5.900000000000000000e+01,1.867982326729422660e-01,5.163385012857734102e-01,4.723125977943127829e-01,2.292287533776742325e-01,5.064899137275600260e-01,4.533375318065906434e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+01,1.970616270484330801e-01,5.145949827190960946e-01,4.663441072899394135e-01,2.393380334698360645e-01,5.074131774769501391e-01,4.417590313341976938e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.100000000000000000e+01,2.066959042625310383e-01,5.136807929292590558e-01,4.592486890788632925e-01,2.467937635578729694e-01,5.098759352583084326e-01,4.297175603032652447e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.200000000000000000e+01,2.156541416405872713e-01,5.134586456952655587e-01,4.512674214048139065e-01,2.518041287565671027e-01,5.125621948302343522e-01,4.190598886715526383e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.300000000000000000e+01,2.240481317989066468e-01,5.137018573026754797e-01,4.426952701382963484e-01,2.552332113833510885e-01,5.146054291665789204e-01,4.108482921916638553e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.400000000000000000e+01,2.318473283244991690e-01,5.140979903885133373e-01,4.335839797723003985e-01,2.561525518624383491e-01,5.153324897591176068e-01,4.051897793776926271e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000000e+01,2.393638581379755603e-01,5.142999443701594675e-01,4.242319214880285738e-01,2.559228727537188330e-01,5.147448516633879034e-01,4.036292133687990891e-01,1.000000000000000000e+00,0.000000000000000000e+00
6.600000000000000000e+01,2.399999999999999911e-01,5.139853363516911910e-01,4.148160530983756589e-01,2.571910075385452910e-01,5.135453470676338839e-01,4.016476627575626956e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.700000000000000000e+01,2.399999999999999911e-01,5.136418587119639945e-01,4.073687534078592742e-01,2.581545332413861527e-01,5.133221907170870679e-01,4.004376956504875906e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.800000000000000000e+01,2.399999999999999911e-01,5.133889183952032864e-01,4.027128542958164359e-01,2.585229625219962468e-01,5.132181291606736639e-01,3.995691188266099481e-01,1.000000000000000000e+00,1.000000000000000000e+00
6.900000000000000000e+01,2.399999999999999911e-01,5.130914469320526639e-01,4.006350547495312053e-01,2.590891775774526451e-01,5.129083018165296881e-01,3.993558098972433967e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.000000000000000000e+01,2.399999999999999911e-01,5.124939355033429900e-01,4.002955395530027882e-01,2.604963793013301832e-01,5.120692007696940884e-01,4.000541987356753815e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.100000000000000000e+01,2.399999999999999911e-01,5.117950448688010079e-01,4.001025697164810602e-01,2.615544906600264508e-01,5.112362851814622466e-01,3.999482912640428545e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.200000000000000000e+01,2.399999999999999911e-01,5.112622014779799606e-01,3.999866186245587540e-01,2.627905982190872347e-01,5.107820133800506923e-01,3.998821257562186204e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.300000000000000000e+01,2.399999999999999911e-01,5.107558640561051799e-01,3.998398271066488374e-01,2.641885150398883830e-01,5.102405859285406020e-01,3.996904436022439278e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.400000000000000000e+01,2.399999999999999911e-01,5.104293998414394240e-01,3.993917287712783204e-01,2.650862355312750829e-01,5.100726546557632357e-01,3.989020673729637423e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.500000000000000000e+01,2.399999999999999911e-01,5.103336007911405403e-01,3.984740985917489264e-01,2.651984943734382316e-01,5.102276366335121160e-01,3.974590999181208950e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.600000000000000000e+01,2.399999999999999911e-01,5.103200203792833678e-01,3.977783972777386157e-01,2.644138604718690999e-01,5.103059250335419961e-01,3.970563167799747717e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.700000000000000000e+01,2.399999999999999911e-01,5.104880367245292483e-01,3.979725039226725825e-01,2.616758488525456894e-01,5.106235812638126870e-01,3.981290964001540367e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.800000000000000000e+01,2.399999999999999911e-01,5.101174515991636627e-01,4.023650436556452936e-01,2.551238427985103030e-01,5.099858717283245468e-01,4.039246578202719817e-01,1.000000000000000000e+00,1.000000000000000000e+00
7.900000000000000000e+01,2.399999999999999911e-01,5.101871475737917994e-01,4.131012679795638132e-01,2.467228175248532551e-01,5.102048697394407917e-01,4.158312555710690361e-01,1.000000000000000000e+00,1.000000000000000000e+00
8.000000000000000000e+01,2.399999999999999911e-01,5.106692186629699926e-01,4.238329567084413441e-01,2.413158704571498614e-01,5.106692186629699926e-01,4.238329567084413441e-01,0.000000000000000000e+00,1.000000000000000000e+00
8.100000000000000000e+01,2.336011633493956241e-01,5.112586894107301605e-01,4.339674233326114017e-01,2.319658304509186753e-01,5.114093388114162586e-01,4.365574608009779034e-01,1.000000000000000000e+00,0.000000000000000000e+00
8.200000000000000000e+01,2.262477607357150922e-01,5.111758258344268890e-01,4.434500708336439612e-01,2.246852294389001248e-01,5.111582180767475503e-01,4.454650473384611509e-01,1.000000000000000000e+00,0.000000000000000000e+00
8.300000000000000000e+01,2.195572785928148196e-01,5.107689521624945161e-01,4.524798980618744970e-01,2.195572785928148196e-01,5.107689521624945161e-01,4.524798980618744970e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.400000000000000000e+01,2.150852259326967442e-01,5.107490660208089395e-01,4.597201188568345032e-01,2.150852259326967442e-01,5.107490660208089395e-01,4.597201188568345032e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000000e+01,2.117533303358616337e-01,5.100683448877370019e-01,4.642862611200215817e-01,2.117533303358616337e-01,5.100683448877370019e-01,4.642862611200215817e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.600000000000000000e+01,2.126862677670726676e-01,5.104316636643957406e-01,4.656212157330834600e-01,2.126862677670726676e-01,5.104316636643957406e-01,4.656212157330834600e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.700000000000000000e+01,2.140155586681193878e-01,5.105375567264649472e-01,4.649089716632199831e-01,2.140155586681193878e-01,5.105375567264649472e-01,4.649089716632199831e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.800000000000000000e+01,2.146918747547332806e-01,5.102672470959037643e-01,4.642135565021265897e-01,2.146918747547332806e-01,5.102672470959037643e-01,4.642135565021265897e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.900000000000000000e+01,2.147791919492681167e-01,5.094245140241921987e-01,4.626157636950081198e-01,2.147791919492680890e-01,5.094245140241921987e-01,4.626157636950081198e-01,0.000000000000000000e+00,0.000000000000000000e+00
