policy,demo,start_step,horizon,xyz_error_mm_mean,xyz_error_mm_final,z_error_mm_mean,z_error_mm_min,gripper_abs_error_mean,pred_gripper_max,gt_gripper_max
sfp_state,demo_001,69,12,23.41039555226553,22.507970746400687,-9.892195463180542,-13.679265975952148,0.4515153517325719,0.9829895496368408,0.0
sfp_state,demo_001,80,12,20.241419923634428,33.00197552500061,-19.142508506774902,-30.988842248916626,0.06595660497744878,0.07090133428573608,0.0
sfp_state,demo_002,0,12,23.00366684963675,51.49221350509885,-22.471971809864044,-50.24871230125427,0.03076385458310445,-0.003188908100128174,0.0
sfp_state,demo_002,12,12,25.062063844677436,35.89641733471604,-16.20769004027049,-21.035045385360718,0.021962652603785198,-0.004975676536560059,0.0
sfp_state,demo_002,25,12,11.108892705799457,30.05518863535516,5.541692177454631,-3.446131944656372,0.14821447680393854,1.1056735515594482,1.0
sfp_state,demo_002,37,12,33.44668226569312,49.10230115033188,-21.454224983851116,-30.861496925354004,0.09183161954085033,0.9237901568412781,1.0
sfp_state,demo_002,50,12,39.23377083257675,58.68148625511461,-18.927618861198425,-28.614580631256104,0.01925233503182729,0.9889545440673828,1.0
sfp_state,demo_002,62,12,26.007234171070564,34.20935020365969,-5.830635627110799,-15.816539525985718,0.016780942678451538,0.9949603080749512,1.0
sfp_state,demo_002,75,12,28.160546135581527,39.24965896962908,0.14550983905792236,-2.6270151138305664,0.23139710227648416,0.9878808856010437,1.0
sfp_state,demo_002,87,12,23.11221641059083,25.601326790892653,-18.680430948734283,-25.129884481430054,0.1870723937948545,0.9793464541435242,0.0
sfp_state,demo_003,0,12,21.675383074781593,37.172846481431215,-8.832894265651703,-19.38280463218689,0.020470653971036274,0.02560177445411682,0.0
sfp_state,demo_003,13,12,18.99824689279835,31.430203115930823,-9.51265295346578,-11.645227670669556,0.18946332236131033,0.9640387892723083,1.0
sfp_state,demo_003,25,12,16.509140863814,12.949656428478281,-10.22230088710785,-15.497356653213501,0.21586044132709503,0.9397194385528564,1.0
sfp_state,demo_003,38,12,17.931837353670673,26.022471303538488,5.167603492736816,-3.9305686950683594,0.15771418809890747,0.890663743019104,1.0
sfp_state,demo_003,51,12,23.110757436534065,36.25281948717571,-9.611768027146658,-20.379841327667236,0.005472401777903239,1.0093915462493896,1.0
sfp_state,demo_003,64,12,24.203971778070226,21.417971285678995,-21.7633123199145,-29.480427503585815,0.2300441786646843,0.9762425422668457,1.0
